City,Address,Latitude,Longitude,List Price,Close Price,Price Per Sqft,Sqft,DOM,Close Date,Bathrooms,Bedrooms,Subdivision Name,MLS Major Area,List Agent,Buy Agent,List Office Name,Buyer Office Name
San Clemente,2238 Calle Opalo,33.45002,-117.624548,1299000,1275000,514,2481,34,08-09-2019,2,4,Signal Point (SIG),MH - Marblehead,Cyndi Elders,Diane Olson,Keller Williams OCC Realty,Berkshire Hathaway Home Services
Laguna Niguel,23972 Broadhorn,33.493011,-117.711656,1229000,1150000,500,2300,117,08-09-2019,2,4,Seacall (SC),LNSLT - Salt Creek,Connie Leeny,Connie Leeny,Coldwell Banker Res. Brokerage,Coldwell Banker Res. Brokerage
Laguna Niguel,14 Springbrook,33.514105,-117.69035,1195000,1120000,425,2635,104,08-09-2019,3,4,Westerlies (LHW),LNSLT - Salt Creek,Jacqueline Thompson,Michelle Wilson,Surterre Properties,First Team Real Estate
Laguna Niguel,28595 Bella Vista,33.54756,-117.683666,995000,985000,429,2296,7,08-09-2019,3,4,Villa Niguel (VN),LNSEA - Sea Country,Wayne Chang,Shawna Ramirez,Realty One Group West,Legacy 15 Real Estate Brokers
San Clemente,10 Gema,33.441002,-117.594288,875000,851000,473,1799,36,08-09-2019,2,3,Richmond Pointe (RP),RS - Rancho San Clemente,Jonathan Beck,Jessica Johnson,Authentic Partners,First Team Real Estate
Laguna Niguel,22932 Via Cruz,33.505475,-117.728657,769500,750000,472,1589,83,08-09-2019,2,2,Villa Pacifica (VP),LNSMT - Summit,Ray E. McAfoose,Jim Shockey,Coldwell Banker Res Brokerage,Berkshire Hathaway HomeService
Newport Beach,2421 Buckeye,33.638081,-117.873816,2299000,2249000,973,2311,38,08-12-2019,2,4,Eastbluff - Lusk (EBLK),NV - East Bluff - Harbor View,Amy Baumgartner,Robert Pfeif,Villa Real Estate,Surterre Properties Inc.
Newport Beach,3124 Broad,33.626434,-117.924495,2395000,2200000,646,3406,105,08-12-2019,4,5,Newport Heights (NEWH),N6 - Newport Heights,Lindsay Bibb,Travis White,Villa Real Estate,Arbor Real Estate Professional
Laguna Beach,445 Arroyo Chico,33.538946,-117.776898,2250000,2155000,1227,1756,100,08-12-2019,2,3,The Village (VIL),LV - Laguna Village,Susan Siegrist,Penny Pattillo,First Team Estates,Compass
Laguna Beach,753 Manzanita,33.542912,-117.776457,1895000,1750000,868,2016,142,08-12-2019,2,5,The Village (VIL),LV - Laguna Village,Mark Christy,Mark Christy,Berkshire Hathaway Home Service,Berkshire Hathaway HomeServices
San Clemente,26 Via Divertirse,33.478602,-117.603622,1549900,1512500,321,4712,80,08-12-2019,5,5,Mirador (MIRD),TL - Talega,Brittany Soroudi,Shannon Miller,Keller Williams OCC Realty,@Vantage Real Estate
Dana Point,33115 Sea Lion,33.482036,-117.692667,1259000,1225000,395,3101,56,08-12-2019,4,5,Thunderbird Capistrano (TC),DH - Dana Hills,Mark Johnson,Rosario Rodriguez,ERA North Orange County,First Team Real Estate
Laguna Niguel,59 Siena,33.511252,-117.706256,899999,895000,420,2131,73,08-12-2019,2,3,Siena (MHS),LNSLT - Salt Creek,Mac Mackenzie,Jeff Anderson,Coldwell Banker Res. Brokerage,Berkshire Hathaway HomeService
San Juan Capistrano,33801 Calle Conejo,33.472172,-117.660954,888888,888888,414,2147,4,08-12-2019,2,3,Alto Capistrano (AC),JS - San Juan South,Kathy Divel,Krista Widner-Morales,Realty One Group West,Coldwell Banker Res. Brokerage
San Clemente,5802 Camino Nubes,33.474104,-117.618832,850000,845000,401,2107,17,08-12-2019,2,4,Ashton (ASHT),FR - Forster Ranch,Michael Bojorquez,Hilary Peter,Coldwell Banker Res. Brokerage,Keller Williams OCC Realty
Corona del Mar,2807 Pebble,33.605052,-117.868055,7695000,7700000,1964,3921,21,08-13-2019,3,3,Harbor View Original (HVWO),CS - Corona Del Mar - Spyglass,Timothy Tamura,Heather Kidder,VALIA Properties,Compass
Newport Beach,1502 South Bay Front,33.604512,-117.888595,6295000,5670000,1960,2893,50,08-13-2019,5,4,Balboa Island - Little Island (BALL),N9 - Lower Newport Bay - Balboa Island,Tony Bartos,Georgie Fenton,Pacific Sotheby's Int'l Realty,Coldwell Banker Res. Brokerage
Newport Beach,3806 River,33.618555,-117.934853,4500000,4275000,1478,2892,131,08-13-2019,2,3,West Newport Beach (WSNB),N8 - West Newport - Lido,Marie Little,Ronald Desormiers,Arbor Real Estate,Coldwell Banker Res. Brokerage
San Clemente,13 Via Conocido,33.480876,-117.593468,2300000,2100000,352,5966,68,08-13-2019,5,5,Lucia (LUCI),TL - Talega,Doug Echelberger,Siobhan Ulnick,Pacific Sotheby's Int'l Realty,Berkshire Hathaway HomeServic
San Clemente,2012 Costero Hermoso,33.45844,-117.619757,1099000,1050000,375,2800,72,08-13-2019,4,5,Reserve South (RESS),FR - Forster Ranch,Siobhan Ulnick,Susan McCabe,Berkshire Hathaway Home Service,First Team Real Estate
Newport Beach,526 Vista Grande,33.64021,-117.880384,1090000,1000000,532,1880,43,08-13-2019,2,3,Bluffs Original (BORI),NV - East Bluff - Harbor View,Kathy Fallon,Scott Harrison,Surterre Properties,Douglas Elliman of California
San Clemente,1641 Via Tulipan,33.473008,-117.622433,910000,895000,382,2343,50,08-13-2019,2,4,Sunset Ridge (SUNR),FR - Forster Ranch,Sandra Marquez,Thomas Santoro,Re/Max Coastal Homes,Crane Real Estate
San Clemente,722 Camino De Los Mares,33.459177,-117.643051,665000,620000,488,1270,140,08-13-2019,2,2,Vista Del Verde (VV),CD - Coast District,Ruben Martinez,Jimmy Reed,Fiduciary Real Estate Services,Re/Max Coastal Homes
Dana Point,24682 El Camino Capistrano,33.463071,-117.699043,8450000,7850000,1046,7505,41,08-14-2019,6,6,Other (OTHR),LT - Lantern Village,Mark Nix,Tristan Purer,Surterre Properties,Bennion Deville Homes
Dana Point,33821 Mercator,33.471556,-117.716191,3750000,3650000,1478,2470,13,08-14-2019,3,4,Niguel Shores Custom (NSC),MB - Monarch Beach,Connie McKibban,Connie McKibban,Berkshire Hathaway Home Service,Berkshire Hathaway HomeService
Laguna Niguel,11 POPPY HILLS RD.,33.499976,-117.698092,2395000,2303512,512,4499,300,08-14-2019,3,4,Ocean Ranch ~ Custom (BBC),LNSLT - Salt Creek,Doug Dunlap,Doug Dunlap,Surterre Properties,Surterre Properties Inc
